block,wealth_bucket,n_wallets,mean,median,p25,p75,p90,p95,p99,max
13717847,1–100,5015824,1.1703678199235061,1.0,1.0,1.0,2.0,2.0,4.0,575.0
13717847,">100,000",144909,3.2907686893153634,1.0,1.0,3.0,7.0,12.0,30.0,914.0
13916166,0–1,3765487,1.1206762896804583,1.0,1.0,1.0,1.0,2.0,3.0,575.0
13916166,"1,000–10,000",1615293,2.0269090499370703,1.0,1.0,2.0,4.0,6.0,11.0,755.0
13916166,"10,000–100,000",420606,3.1963119879412085,1.0,1.0,3.0,7.0,11.0,23.0,677.0
13916166,"100–1,000",3791202,1.3811429725981363,1.0,1.0,1.0,2.0,3.0,6.0,392.0
13916166,1–100,7728046,1.1564520966878302,1.0,1.0,1.0,2.0,2.0,3.0,304.0
13916166,">100,000",136745,3.1522468828842007,1.0,1.0,2.0,6.0,11.0,29.0,906.0
14116761,0–1,3790951,1.125789808414828,1.0,1.0,1.0,1.0,2.0,3.0,575.0
14116761,"1,000–10,000",1444808,2.131189057646414,1.0,1.0,2.0,4.0,6.0,12.0,770.0
14116761,"10,000–100,000",348329,3.1799964975640846,1.0,1.0,3.0,7.0,11.0,24.0,701.0
14116761,"100–1,000",3899586,1.401135659016111,1.0,1.0,1.0,2.0,3.0,6.0,392.0
14116761,1–100,8314554,1.1714913391626298,1.0,1.0,1.0,2.0,2.0,4.0,696.0
14116761,">100,000",118318,3.0425379063202556,1.0,1.0,2.0,6.0,10.0,29.0,909.0
14297759,0–1,3864658,1.126326831507471,1.0,1.0,1.0,1.0,2.0,3.0,605.0
14297759,"1,000–10,000",1442581,2.143916355476746,1.0,1.0,2.0,4.0,6.0,13.0,787.0
14297759,"10,000–100,000",363592,3.029651367466831,1.0,1.0,3.0,7.0,11.0,23.09000000002561,821.0
14297759,"100–1,000",4052296,1.4043719905949614,1.0,1.0,1.0,2.0,3.0,6.0,392.0
14297759,1–100,8424204,1.1745157168558595,1.0,1.0,1.0,2.0,2.0,4.0,697.0
14297759,">100,000",115263,3.010437000598631,1.0,1.0,2.0,5.0,10.0,28.0,912.0
14497034,0–1,3934386,1.1262873037876813,1.0,1.0,1.0,1.0,2.0,3.0,605.0
14497034,"1,000–10,000",1388233,2.1873864113589003,1.0,1.0,2.0,4.0,6.0,13.0,808.0
14497034,"10,000–100,000",356505,3.2114107796524594,1.0,1.0,3.0,7.0,11.0,24.0,762.0
14497034,"100–1,000",4014223,1.4041541787788072,1.0,1.0,1.0,2.0,3.0,6.0,392.0
14497034,1–100,8441535,1.1757861573754063,1.0,1.0,1.0,2.0,2.0,4.0,697.0
14497034,">100,000",121742,3.0965237962248033,1.0,1.0,2.0,6.0,10.0,29.0,933.0
14688630,0–1,4160464,1.1252627110822255,1.0,1.0,1.0,1.0,2.0,3.0,605.0
14688630,"1,000–10,000",1236193,2.2809771613332224,1.0,1.0,2.0,5.0,7.0,14.0,823.0
14688630,"10,000–100,000",303037,3.175592419407531,1.0,1.0,3.0,7.0,11.0,25.0,804.0
14688630,"100–1,000",3997358,1.440570246647911,1.0,1.0,1.0,2.0,3.0,6.0,392.0
14688630,1–100,8831375,1.1915814921232537,1.0,1.0,1.0,2.0,2.0,4.0,697.0
14688630,">100,000",107938,3.0388926976597674,1.0,1.0,2.0,5.0,10.0,29.0,956.0
14881677,0–1,4529239,1.1237490448174627,1.0,1.0,1.0,1.0,2.0,3.0,605.0
14881677,"1,000–10,000",1008527,2.4330226161520714,1.0,1.0,3.0,5.0,8.0,15.0,838.0
14881677,"10,000–100,000",250016,3.1089210290541405,1.0,1.0,3.0,7.0,11.0,25.0,817.0
14881677,"100–1,000",3723722,1.494935175074831,1.0,1.0,1.0,3.0,4.0,7.0,315.0
14881677,1–100,9271099,1.2097301517328205,1.0,1.0,1.0,2.0,2.0,4.0,770.0
14881677,">100,000",94952,3.0251390176088973,1.0,1.0,2.0,5.0,9.0,28.0,967.0
