block,wallet_type,wealth_bucket,n_wallets,mean,median,p25,p75,p90,p95,p99,max
11167817,EOA,">100,000",25504,2.35676756587202,1.0,1.0,2.0,5.0,8.0,20.0,210.0
11363270,CA,0–1,17299,1.029250245678941,1.0,1.0,1.0,1.0,1.0,2.0,20.0
11363270,CA,"1,000–10,000",2030,1.3423645320197044,1.0,1.0,1.0,2.0,3.0,5.0,26.0
11363270,CA,"10,000–100,000",1391,1.376707404744788,1.0,1.0,2.0,2.0,2.0,6.0,17.0
11363270,CA,"100–1,000",2358,1.2302798982188294,1.0,1.0,1.0,2.0,2.0,4.0,9.0
11363270,CA,1–100,4579,1.152653417776807,1.0,1.0,1.0,2.0,2.0,4.0,9.0
11363270,CA,">100,000",896,1.6763392857142858,2.0,1.0,2.0,2.0,3.0,6.0,14.0
11363270,EOA,0–1,3062191,1.1292411217980851,1.0,1.0,1.0,1.0,2.0,3.0,100.0
11363270,EOA,"1,000–10,000",354352,2.3285715898315797,1.0,1.0,3.0,5.0,7.0,13.0,232.0
11363270,EOA,"10,000–100,000",134875,2.3141056533827618,1.0,1.0,2.0,5.0,8.0,17.0,194.0
11363270,EOA,"100–1,000",756734,1.5980080186697043,1.0,1.0,2.0,3.0,4.0,8.0,131.0
11363270,EOA,1–100,5062374,1.2014165685901517,1.0,1.0,1.0,2.0,2.0,4.0,238.0
11363270,EOA,">100,000",32796,2.3780948896206855,1.0,1.0,2.0,5.0,8.0,20.0,333.0
11565019,CA,0–1,19012,1.030612244897959,1.0,1.0,1.0,1.0,1.0,2.0,20.0
11565019,CA,"1,000–10,000",2352,1.3197278911564625,1.0,1.0,1.0,2.0,2.0,5.0,26.0
11565019,CA,"10,000–100,000",1537,1.380611581001952,1.0,1.0,2.0,2.0,2.199999999999818,5.0,17.0
11565019,CA,"100–1,000",2748,1.2259825327510918,1.0,1.0,1.0,2.0,2.0,4.0,13.0
11565019,CA,1–100,5222,1.147070088088855,1.0,1.0,1.0,2.0,2.0,4.0,9.0
11565019,CA,">100,000",1093,1.64775846294602,2.0,1.0,2.0,2.0,3.0,6.0,17.0
11565019,EOA,0–1,2940735,1.1351560069166382,1.0,1.0,1.0,1.0,2.0,3.0,116.0
11565019,EOA,"1,000–10,000",380672,2.3876408036314727,1.0,1.0,3.0,5.0,7.0,14.0,284.0
11565019,EOA,"10,000–100,000",143805,2.4295608636695527,1.0,1.0,2.0,5.0,9.0,19.0,206.0
11565019,EOA,"100–1,000",876241,1.5762935082928098,1.0,1.0,2.0,3.0,4.0,7.0,130.0
11565019,EOA,1–100,5489592,1.1986956407689315,1.0,1.0,1.0,2.0,2.0,4.0,238.0
11565019,EOA,">100,000",41949,2.2190040287015185,1.0,1.0,1.0,4.0,7.0,20.0,397.0
