size_bucket,wallet_count,wallet_pct,wallet_type,wealth_bucket,block
5,7,2.4911,CA,1–100,9581792
6–10,3,1.0676,CA,1–100,9581792
1,13,68.4211,CA,">100,000",9581792
2,5,26.3158,CA,">100,000",9581792
6–10,1,5.2632,CA,">100,000",9581792
1,1864978,87.8736,EOA,0–1,9581792
11–20,245,0.0115,EOA,0–1,9581792
2,193459,9.1154,EOA,0–1,9581792
21–50,20,0.0009,EOA,0–1,9581792
3,40604,1.9132,EOA,0–1,9581792
4,13127,0.6185,EOA,0–1,9581792
5,6959,0.3279,EOA,0–1,9581792
51–100,1,0.0,EOA,0–1,9581792
6–10,2948,0.1389,EOA,0–1,9581792
1,88026,65.2078,EOA,"1,000–10,000",9581792
11–20,1670,1.2371,EOA,"1,000–10,000",9581792
2,17297,12.8133,EOA,"1,000–10,000",9581792
21–50,125,0.0926,EOA,"1,000–10,000",9581792
3,10284,7.6182,EOA,"1,000–10,000",9581792
4,6323,4.6839,EOA,"1,000–10,000",9581792
5,3892,2.8831,EOA,"1,000–10,000",9581792
51–100,3,0.0022,EOA,"1,000–10,000",9581792
6–10,7373,5.4618,EOA,"1,000–10,000",9581792
1,39405,78.93,EOA,"10,000–100,000",9581792
11–20,596,1.1938,EOA,"10,000–100,000",9581792
2,3970,7.9521,EOA,"10,000–100,000",9581792
21–50,72,0.1442,EOA,"10,000–100,000",9581792
3,2003,4.0121,EOA,"10,000–100,000",9581792
4,1273,2.5499,EOA,"10,000–100,000",9581792
5,843,1.6886,EOA,"10,000–100,000",9581792
51–100,5,0.01,EOA,"10,000–100,000",9581792
6–10,1757,3.5193,EOA,"10,000–100,000",9581792
1,294406,73.8967,EOA,"100–1,000",9581792
11–20,1221,0.3065,EOA,"100–1,000",9581792
2,49169,12.3416,EOA,"100–1,000",9581792
21–50,108,0.0271,EOA,"100–1,000",9581792
3,23585,5.9199,EOA,"100–1,000",9581792
4,12834,3.2214,EOA,"100–1,000",9581792
5,7334,1.8409,EOA,"100–1,000",9581792
51–100,2,0.0005,EOA,"100–1,000",9581792
6–10,9743,2.4455,EOA,"100–1,000",9581792
1,3106406,85.6062,EOA,1–100,9581792
11–20,1396,0.0385,EOA,1–100,9581792
2,388783,10.7141,EOA,1–100,9581792
21–50,87,0.0024,EOA,1–100,9581792
3,76554,2.1097,EOA,1–100,9581792
4,28445,0.7839,EOA,1–100,9581792
5,13187,0.3634,EOA,1–100,9581792
51–100,2,0.0001,EOA,1–100,9581792
6–10,13856,0.3818,EOA,1–100,9581792
>100,1,0.0,EOA,1–100,9581792
1,8835,79.4157,EOA,">100,000",9581792
11–20,117,1.0517,EOA,">100,000",9581792
2,927,8.3326,EOA,">100,000",9581792
21–50,67,0.6022,EOA,">100,000",9581792
3,414,3.7213,EOA,">100,000",9581792
4,266,2.391,EOA,">100,000",9581792
5,164,1.4742,EOA,">100,000",9581792
51–100,17,0.1528,EOA,">100,000",9581792
6–10,316,2.8404,EOA,">100,000",9581792
>100,2,0.018,EOA,">100,000",9581792
1,985,93.3649,CA,0–1,9782602
11–20,1,0.0948,CA,0–1,9782602
2,55,5.2133,CA,0–1,9782602
3,10,0.9479,CA,0–1,9782602
4,2,0.1896,CA,0–1,9782602
6–10,2,0.1896,CA,0–1,9782602
1,48,68.5714,CA,"1,000–10,000",9782602
2,13,18.5714,CA,"1,000–10,000",9782602
3,3,4.2857,CA,"1,000–10,000",9782602
4,1,1.4286,CA,"1,000–10,000",9782602
5,1,1.4286,CA,"1,000–10,000",9782602
6–10,4,5.7143,CA,"1,000–10,000",9782602
1,9,60.0,CA,"10,000–100,000",9782602
2,4,26.6667,CA,"10,000–100,000",9782602
4,1,6.6667,CA,"10,000–100,000",9782602
6–10,1,6.6667,CA,"10,000–100,000",9782602
1,57,58.7629,CA,"100–1,000",9782602
2,17,17.5258,CA,"100–1,000",9782602
21–50,1,1.0309,CA,"100–1,000",9782602
3,12,12.3711,CA,"100–1,000",9782602
4,5,5.1546,CA,"100–1,000",9782602
5,3,3.0928,CA,"100–1,000",9782602
6–10,2,2.0619,CA,"100–1,000",9782602
1,206,69.8305,CA,1–100,9782602
2,48,16.2712,CA,1–100,9782602
3,18,6.1017,CA,1–100,9782602
4,11,3.7288,CA,1–100,9782602
5,7,2.3729,CA,1–100,9782602
6–10,5,1.6949,CA,1–100,9782602
1,11,73.3333,CA,">100,000",9782602
2,3,20.0,CA,">100,000",9782602
6–10,1,6.6667,CA,">100,000",9782602
1,1935293,87.5581,EOA,0–1,9782602
11–20,333,0.0151,EOA,0–1,9782602
2,202805,9.1755,EOA,0–1,9782602
21–50,23,0.001,EOA,0–1,9782602
3,44761,2.0251,EOA,0–1,9782602
4,15419,0.6976,EOA,0–1,9782602
5,7889,0.3569,EOA,0–1,9782602
51–100,1,0.0,EOA,0–1,9782602
6–10,3772,0.1707,EOA,0–1,9782602
1,150316,77.7747,EOA,"1,000–10,000",9782602
11–20,1770,0.9158,EOA,"1,000–10,000",9782602
2,16648,8.6138,EOA,"1,000–10,000",9782602
21–50,130,0.0673,EOA,"1,000–10,000",9782602
3,8615,4.4575,EOA,"1,000–10,000",9782602
4,5450,2.8199,EOA,"1,000–10,000",9782602
5,3566,1.8451,EOA,"1,000–10,000",9782602
51–100,4,0.0021,EOA,"1,000–10,000",9782602
6–10,6772,3.5039,EOA,"1,000–10,000",9782602
1,40346,82.0858,EOA,"10,000–100,000",9782602
11–20,512,1.0417,EOA,"10,000–100,000",9782602
2,3434,6.9866,EOA,"10,000–100,000",9782602
21–50,60,0.1221,EOA,"10,000–100,000",9782602
3,1605,3.2654,EOA,"10,000–100,000",9782602
4,1069,2.1749,EOA,"10,000–100,000",9782602
5,720,1.4649,EOA,"10,000–100,000",9782602
51–100,5,0.0102,EOA,"10,000–100,000",9782602
6–10,1400,2.8484,EOA,"10,000–100,000",9782602
1,335424,77.2959,EOA,"100–1,000",9782602
11–20,1361,0.3136,EOA,"100–1,000",9782602
2,45738,10.54,EOA,"100–1,000",9782602
21–50,120,0.0277,EOA,"100–1,000",9782602
3,21978,5.0647,EOA,"100–1,000",9782602
4,12189,2.8089,EOA,"100–1,000",9782602
5,7092,1.6343,EOA,"100–1,000",9782602
51–100,4,0.0009,EOA,"100–1,000",9782602
6–10,10042,2.3141,EOA,"100–1,000",9782602
1,3170569,85.6072,EOA,1–100,9782602
11–20,1557,0.042,EOA,1–100,9782602
2,391101,10.5599,EOA,1–100,9782602
21–50,109,0.0029,EOA,1–100,9782602
3,82017,2.2145,EOA,1–100,9782602
4,29528,0.7973,EOA,1–100,9782602
5,13833,0.3735,EOA,1–100,9782602
51–100,1,0.0,EOA,1–100,9782602
6–10,14910,0.4026,EOA,1–100,9782602
>100,1,0.0,EOA,1–100,9782602
1,5021,71.6876,EOA,">100,000",9782602
11–20,103,1.4706,EOA,">100,000",9782602
2,789,11.265,EOA,">100,000",9782602
21–50,62,0.8852,EOA,">100,000",9782602
3,385,5.4969,EOA,">100,000",9782602
4,206,2.9412,EOA,">100,000",9782602
5,140,1.9989,EOA,">100,000",9782602
51–100,19,0.2713,EOA,">100,000",9782602
6–10,277,3.9549,EOA,">100,000",9782602
>100,2,0.0286,EOA,">100,000",9782602
1,993,93.2394,CA,0–1,9976964
11–20,1,0.0939,CA,0–1,9976964
2,55,5.1643,CA,0–1,9976964
3,12,1.1268,CA,0–1,9976964
4,2,0.1878,CA,0–1,9976964
6–10,2,0.1878,CA,0–1,9976964
1,47,61.039,CA,"1,000–10,000",9976964
2,13,16.8831,CA,"1,000–10,000",9976964
21–50,1,1.2987,CA,"1,000–10,000",9976964
3,6,7.7922,CA,"1,000–10,000",9976964
4,3,3.8961,CA,"1,000–10,000",9976964
5,1,1.2987,CA,"1,000–10,000",9976964
6–10,6,7.7922,CA,"1,000–10,000",9976964
1,16,51.6129,CA,"10,000–100,000",9976964
2,12,38.7097,CA,"10,000–100,000",9976964
3,1,3.2258,CA,"10,000–100,000",9976964
4,1,3.2258,CA,"10,000–100,000",9976964
6–10,1,3.2258,CA,"10,000–100,000",9976964
1,72,62.069,CA,"100–1,000",9976964
2,18,15.5172,CA,"100–1,000",9976964
3,16,13.7931,CA,"100–1,000",9976964
4,4,3.4483,CA,"100–1,000",9976964
5,3,2.5862,CA,"100–1,000",9976964
6–10,3,2.5862,CA,"100–1,000",9976964
1,226,69.969,CA,1–100,9976964
2,56,17.3375,CA,1–100,9976964
3,19,5.8824,CA,1–100,9976964
4,10,3.096,CA,1–100,9976964
5,7,2.1672,CA,1–100,9976964
6–10,5,1.548,CA,1–100,9976964
1,16,72.7273,CA,">100,000",9976964
2,3,13.6364,CA,">100,000",9976964
3,1,4.5455,CA,">100,000",9976964
5,1,4.5455,CA,">100,000",9976964
6–10,1,4.5455,CA,">100,000",9976964
1,2311017,89.1479,EOA,0–1,9976964
11–20,361,0.0139,EOA,0–1,9976964
2,211503,8.1588,EOA,0–1,9976964
21–50,22,0.0008,EOA,0–1,9976964
3,44531,1.7178,EOA,0–1,9976964
4,14298,0.5515,EOA,0–1,9976964
5,7337,0.283,EOA,0–1,9976964
51–100,1,0.0,EOA,0–1,9976964
6–10,3269,0.1261,EOA,0–1,9976964
1,174682,74.9879,EOA,"1,000–10,000",9976964
11–20,1897,0.8143,EOA,"1,000–10,000",9976964
2,24890,10.6848,EOA,"1,000–10,000",9976964
21–50,142,0.061,EOA,"1,000–10,000",9976964
3,11693,5.0196,EOA,"1,000–10,000",9976964
4,6993,3.002,EOA,"1,000–10,000",9976964
5,4552,1.9541,EOA,"1,000–10,000",9976964
51–100,6,0.0026,EOA,"1,000–10,000",9976964
6–10,8092,3.4738,EOA,"1,000–10,000",9976964
1,43732,78.248,EOA,"10,000–100,000",9976964
