size_bucket,wallet_count,wallet_pct,wealth_bucket,block
51–100,3,0.0006,"100–1,000",10570485
6–10,11242,2.2257,"100–1,000",10570485
>100,2,0.0004,"100–1,000",10570485
1,3709274,86.3915,1–100,10570485
11–20,1332,0.031,1–100,10570485
2,436496,10.1663,1–100,10570485
21–50,94,0.0022,1–100,10570485
3,87948,2.0484,1–100,10570485
4,30702,0.7151,1–100,10570485
5,13672,0.3184,1–100,10570485
51–100,3,0.0001,1–100,10570485
6–10,14041,0.327,1–100,10570485
1,14793,74.8368,">100,000",10570485
11–20,308,1.5582,">100,000",10570485
2,1916,9.6929,">100,000",10570485
21–50,97,0.4907,">100,000",10570485
3,872,4.4114,">100,000",10570485
4,563,2.8482,">100,000",10570485
5,427,2.1602,">100,000",10570485
51–100,25,0.1265,">100,000",10570485
6–10,763,3.86,">100,000",10570485
>100,3,0.0152,">100,000",10570485
0,1,0.0,0–1,10771925
1,2529825,90.6084,0–1,10771925
11–20,391,0.014,0–1,10771925
2,201579,7.2198,0–1,10771925
21–50,23,0.0008,0–1,10771925
3,39099,1.4004,0–1,10771925
4,11991,0.4295,0–1,10771925
5,6407,0.2295,0–1,10771925
51–100,1,0.0,0–1,10771925
6–10,2724,0.0976,0–1,10771925
1,225587,64.1457,"1,000–10,000",10771925
11–20,3189,0.9068,"1,000–10,000",10771925
2,52139,14.8257,"1,000–10,000",10771925
21–50,296,0.0842,"1,000–10,000",10771925
3,28097,7.9894,"1,000–10,000",10771925
4,15817,4.4976,"1,000–10,000",10771925
5,9934,2.8247,"1,000–10,000",10771925
51–100,14,0.004,"1,000–10,000",10771925
6–10,16605,4.7216,"1,000–10,000",10771925
>100,1,0.0003,"1,000–10,000",10771925
1,67491,63.8255,"10,000–100,000",10771925
11–20,2765,2.6148,"10,000–100,000",10771925
2,12325,11.6556,"10,000–100,000",10771925
21–50,383,0.3622,"10,000–100,000",10771925
3,7154,6.7655,"10,000–100,000",10771925
4,4676,4.422,"10,000–100,000",10771925
5,3366,3.1832,"10,000–100,000",10771925
51–100,16,0.0151,"10,000–100,000",10771925
6–10,7566,7.1551,"10,000–100,000",10771925
>100,1,0.0009,"10,000–100,000",10771925
1,581353,78.0359,"100–1,000",10771925
11–20,1401,0.1881,"100–1,000",10771925
2,84569,11.3518,"100–1,000",10771925
21–50,127,0.017,"100–1,000",10771925
3,37657,5.0548,"100–1,000",10771925
4,18342,2.4621,"100–1,000",10771925
5,9819,1.318,"100–1,000",10771925
51–100,4,0.0005,"100–1,000",10771925
6–10,11708,1.5716,"100–1,000",10771925
>100,1,0.0001,"100–1,000",10771925
1,3700174,86.3699,1–100,10771925
11–20,1187,0.0277,1–100,10771925
2,439958,10.2696,1–100,10771925
21–50,83,0.0019,1–100,10771925
3,87001,2.0308,1–100,10771925
4,29778,0.6951,1–100,10771925
5,13032,0.3042,1–100,10771925
51–100,4,0.0001,1–100,10771925
6–10,12883,0.3007,1–100,10771925
1,18123,69.4687,">100,000",10771925
11–20,604,2.3152,">100,000",10771925
2,2838,10.8786,">100,000",10771925
21–50,163,0.6248,">100,000",10771925
3,1382,5.2975,">100,000",10771925
4,862,3.3042,">100,000",10771925
5,649,2.4877,">100,000",10771925
51–100,34,0.1303,">100,000",10771925
6–10,1428,5.4738,">100,000",10771925
>100,5,0.0192,">100,000",10771925
0,1,0.0,0–1,10966874
1,2528002,90.0978,0–1,10966874
11–20,438,0.0156,0–1,10966874
2,211876,7.5512,0–1,10966874
21–50,25,0.0009,0–1,10966874
3,42044,1.4984,0–1,10966874
4,13283,0.4734,0–1,10966874
5,6934,0.2471,0–1,10966874
51–100,7,0.0002,0–1,10966874
6–10,3231,0.1152,0–1,10966874
1,285856,64.736,"1,000–10,000",10966874
11–20,5158,1.1681,"1,000–10,000",10966874
2,62295,14.1076,"1,000–10,000",10966874
21–50,568,0.1286,"1,000–10,000",10966874
3,33280,7.5367,"1,000–10,000",10966874
4,19466,4.4083,"1,000–10,000",10966874
5,12664,2.8679,"1,000–10,000",10966874
51–100,21,0.0048,"1,000–10,000",10966874
6–10,22261,5.0413,"1,000–10,000",10966874
>100,3,0.0007,"1,000–10,000",10966874
1,68094,66.734,"10,000–100,000",10966874
11–20,2911,2.8529,"10,000–100,000",10966874
2,10444,10.2354,"10,000–100,000",10966874
21–50,525,0.5145,"10,000–100,000",10966874
3,6017,5.8968,"10,000–100,000",10966874
4,4056,3.975,"10,000–100,000",10966874
5,2975,2.9156,"10,000–100,000",10966874
51–100,25,0.0245,"10,000–100,000",10966874
6–10,6991,6.8514,"10,000–100,000",10966874
1,700681,78.9081,"100–1,000",10966874
11–20,1760,0.1982,"100–1,000",10966874
2,96566,10.8749,"100–1,000",10966874
21–50,146,0.0164,"100–1,000",10966874
3,42549,4.7917,"100–1,000",10966874
4,20730,2.3345,"100–1,000",10966874
5,11270,1.2692,"100–1,000",10966874
51–100,4,0.0005,"100–1,000",10966874
6–10,14263,1.6062,"100–1,000",10966874
>100,2,0.0002,"100–1,000",10966874
1,3843136,86.3388,1–100,10966874
11–20,1448,0.0325,1–100,10966874
2,452583,10.1676,1–100,10966874
21–50,97,0.0022,1–100,10966874
3,92671,2.0819,1–100,10966874
4,31918,0.7171,1–100,10966874
5,14260,0.3204,1–100,10966874
51–100,2,0.0,1–100,10966874
6–10,15113,0.3395,1–100,10966874
1,20448,74.4593,">100,000",10966874
11–20,585,2.1302,">100,000",10966874
2,2573,9.3693,">100,000",10966874
21–50,174,0.6336,">100,000",10966874
3,1142,4.1585,">100,000",10966874
4,749,2.7274,">100,000",10966874
5,542,1.9736,">100,000",10966874
51–100,38,0.1384,">100,000",10966874
6–10,1202,4.377,">100,000",10966874
>100,9,0.0328,">100,000",10966874
0,1,0.0,0–1,11167817
1,2644978,90.428,0–1,11167817
11–20,458,0.0157,0–1,11167817
2,211255,7.2225,0–1,11167817
21–50,27,0.0009,0–1,11167817
3,43613,1.4911,0–1,11167817
4,13996,0.4785,0–1,11167817
5,7245,0.2477,0–1,11167817
51–100,8,0.0003,0–1,11167817
6–10,3373,0.1153,0–1,11167817
1,189300,57.756,"1,000–10,000",11167817
11–20,5575,1.701,"1,000–10,000",11167817
2,52161,15.9145,"1,000–10,000",11167817
21–50,749,0.2285,"1,000–10,000",11167817
3,28997,8.8471,"1,000–10,000",11167817
4,17584,5.3649,"1,000–10,000",11167817
5,11640,3.5514,"1,000–10,000",11167817
51–100,32,0.0098,"1,000–10,000",11167817
6–10,21719,6.6265,"1,000–10,000",11167817
>100,1,0.0003,"1,000–10,000",11167817
1,78195,71.4077,"10,000–100,000",11167817
11–20,2709,2.4739,"10,000–100,000",11167817
2,10100,9.2233,"10,000–100,000",11167817
21–50,555,0.5068,"10,000–100,000",11167817
3,5550,5.0683,"10,000–100,000",11167817
4,3612,3.2985,"10,000–100,000",11167817
5,2634,2.4054,"10,000–100,000",11167817
51–100,32,0.0292,"10,000–100,000",11167817
6–10,6115,5.5842,"10,000–100,000",11167817
