block_number,date,optimisation,token_group,mean_dist,median_dist,std_dist,count
21747950,2025-02-01 00:00:00,better_return,11-20,72.6876927398887,77.48897225349218,23.56339869308634,120961
21747950,2025-02-01 00:00:00,better_return,2,15.408399929588613,8.657073391482584e-08,26.718331875728055,3040309
21747950,2025-02-01 00:00:00,better_return,21+,81.78256132327363,86.96978776606446,18.34120623800363,32504
21747950,2025-02-01 00:00:00,better_return,3,31.28857980187788,22.047064621032547,29.772364022158733,972459
21747950,2025-02-01 00:00:00,better_return,4,42.6563722698183,38.30848992130572,30.38529897325345,452960
21747950,2025-02-01 00:00:00,better_return,5,50.300078446580734,49.065960605836956,29.795025326954224,253832
21747950,2025-02-01 00:00:00,better_return,6-10,60.09081656032112,61.98498465262081,28.287732641441867,414316
21747950,2025-02-01 00:00:00,max_sharpe,11-20,82.51903351054679,89.48773359543293,19.530927010247684,120961
21747950,2025-02-01 00:00:00,max_sharpe,2,39.14810959798775,37.788754361217116,33.89558975727983,3040309
21747950,2025-02-01 00:00:00,max_sharpe,21+,87.9310978645985,92.81920343968567,14.96742573010024,32504
21747950,2025-02-01 00:00:00,max_sharpe,3,54.50290246079017,63.43929342292958,32.731507601543996,972459
21747950,2025-02-01 00:00:00,max_sharpe,4,63.7623111800182,75.39038378292936,30.011464664940185,452960
21747950,2025-02-01 00:00:00,max_sharpe,5,69.00436212680948,80.3647390384991,27.891992008600077,253832
21747950,2025-02-01 00:00:00,max_sharpe,6-10,75.03709646238198,85.08846454141559,24.836425574427366,414316
21747950,2025-02-01 00:00:00,safer_risk,11-20,65.48362356401682,66.81554509724234,18.260882283665705,120961
21747950,2025-02-01 00:00:00,safer_risk,2,2.973572839181655e-06,5.696600691162956e-08,5.4561534086925586e-05,3040309
21747950,2025-02-01 00:00:00,safer_risk,21+,76.25253157073053,78.36797654785275,14.577979839538584,32504
21747950,2025-02-01 00:00:00,safer_risk,3,22.360126598203774,15.896787113215732,21.552482090971736,972459
21747950,2025-02-01 00:00:00,safer_risk,4,34.59183769368004,31.504135666332232,23.11171545089037,452960
21747950,2025-02-01 00:00:00,safer_risk,5,42.26310647940601,40.892877318096836,22.741058514223024,253832
21747950,2025-02-01 00:00:00,safer_risk,6-10,52.0850594532964,52.23643203061977,21.78493905165903,414316
21948292,2025-03-01 00:00:00,better_return,11-20,75.54970087683843,82.65704909365981,23.798727344851596,128244
21948292,2025-03-01 00:00:00,better_return,2,17.010793385876383,6.89259310737711e-07,27.611656245761363,3087106
21948292,2025-03-01 00:00:00,better_return,21+,84.16872669795613,91.18899409419012,18.942780442182812,36176
21948292,2025-03-01 00:00:00,better_return,3,32.653777585684885,23.777856229732514,30.257779578347407,990199
21948292,2025-03-01 00:00:00,better_return,4,43.08925026643239,39.21729638461019,30.869598154909067,463198
21948292,2025-03-01 00:00:00,better_return,5,51.279141568238515,51.05729207884423,30.395086340875384,260106
21948292,2025-03-01 00:00:00,better_return,6-10,61.92238453055653,65.55130635748309,28.72472649377045,430466
21948292,2025-03-01 00:00:00,max_sharpe,11-20,86.11035187567444,90.16117791462942,17.916469307037676,128244
21948292,2025-03-01 00:00:00,max_sharpe,2,39.15951658311626,37.69320644837843,33.90230770127129,3087106
21948292,2025-03-01 00:00:00,max_sharpe,21+,91.28353453020004,96.16862327660041,13.891142549384943,36176
21948292,2025-03-01 00:00:00,max_sharpe,3,54.98269869231472,64.36937423028535,32.56912537015597,990199
21948292,2025-03-01 00:00:00,max_sharpe,4,65.07114732528444,77.83033541423256,29.920254067098323,463198
