block_number,block_date,n_wallets,strategy,metric,quantile,value
9581792,2020-03-01,926317,baseline,excess_return,0.5,-0.01299417872836861
9581792,2020-03-01,926317,baseline,excess_return,0.75,0.07445391915316724
9581792,2020-03-01,926317,baseline,excess_return,0.9,0.27178421787356766
9581792,2020-03-01,926317,baseline,excess_return,0.95,0.4073336381916638
9581792,2020-03-01,926317,baseline,excess_return,0.99,0.6790454775575575
9581792,2020-03-01,926317,better_return,alpha,0.01,-0.6303620735650297
9581792,2020-03-01,926317,better_return,alpha,0.05,-0.34783440869559235
9581792,2020-03-01,926317,better_return,alpha,0.1,-0.30695215468959186
9581792,2020-03-01,926317,better_return,alpha,0.25,-0.20398961336181018
9581792,2020-03-01,926317,better_return,alpha,0.5,-0.09861024182124473
9581792,2020-03-01,926317,better_return,alpha,0.75,0.003644181171990243
9581792,2020-03-01,926317,better_return,alpha,0.9,0.13462621549358011
9581792,2020-03-01,926317,better_return,alpha,0.95,0.2826243311068636
9581792,2020-03-01,926317,better_return,alpha,0.99,0.8265434017368667
9581792,2020-03-01,926317,better_return,excess_return,0.01,-0.1929195292583109
9581792,2020-03-01,926317,better_return,excess_return,0.05,-0.1565345988263348
9581792,2020-03-01,926317,better_return,excess_return,0.1,-0.1300780175221229
9581792,2020-03-01,926317,better_return,excess_return,0.25,-0.05843214335535751
9581792,2020-03-01,926317,better_return,excess_return,0.5,-0.013474417032001584
9581792,2020-03-01,926317,better_return,excess_return,0.75,0.0779802659230937
9581792,2020-03-01,926317,better_return,excess_return,0.9,0.26575645034197537
9581792,2020-03-01,926317,better_return,excess_return,0.95,0.39094266284913004
9581792,2020-03-01,926317,better_return,excess_return,0.99,0.6216526994981352
9581792,2020-03-01,926317,equal_weight,alpha,0.01,-0.6574656617471522
9581792,2020-03-01,926317,equal_weight,alpha,0.05,-0.30352725375733136
9581792,2020-03-01,926317,equal_weight,alpha,0.1,-0.23062311755245152
9581792,2020-03-01,926317,equal_weight,alpha,0.25,-0.12650064670220024
9581792,2020-03-01,926317,equal_weight,alpha,0.5,-0.014749547988746975
9581792,2020-03-01,926317,equal_weight,alpha,0.75,0.2687818657534954
9581792,2020-03-01,926317,equal_weight,alpha,0.9,0.37199623383254266
9581792,2020-03-01,926317,equal_weight,alpha,0.95,0.37199623383254266
9581792,2020-03-01,926317,equal_weight,alpha,0.99,0.6471302389638244
9581792,2020-03-01,926317,equal_weight,excess_return,0.01,-0.17481574597565153
9581792,2020-03-01,926317,equal_weight,excess_return,0.05,-0.13321370679085665
9581792,2020-03-01,926317,equal_weight,excess_return,0.1,-0.08193575639076611
9581792,2020-03-01,926317,equal_weight,excess_return,0.25,-0.04008220597546308
9581792,2020-03-01,926317,equal_weight,excess_return,0.5,0.0611429769277434
9581792,2020-03-01,926317,equal_weight,excess_return,0.75,0.3838793140289266
9581792,2020-03-01,926317,equal_weight,excess_return,0.9,0.5413719825522537
9581792,2020-03-01,926317,equal_weight,excess_return,0.95,0.5413719825522537
9581792,2020-03-01,926317,equal_weight,excess_return,0.99,0.7042101690154658
9581792,2020-03-01,926317,max_sharpe,alpha,0.01,-0.6118150001065261
9581792,2020-03-01,926317,max_sharpe,alpha,0.05,-0.3503140525824477
9581792,2020-03-01,926317,max_sharpe,alpha,0.1,-0.25458961882029396
9581792,2020-03-01,926317,max_sharpe,alpha,0.25,-0.20398961332520882
9581792,2020-03-01,926317,max_sharpe,alpha,0.5,-0.03660765422887191
9581792,2020-03-01,926317,max_sharpe,alpha,0.75,0.04976414167044346
9581792,2020-03-01,926317,max_sharpe,alpha,0.9,0.16992851923684937
9581792,2020-03-01,926317,max_sharpe,alpha,0.95,0.3150312722871995
9581792,2020-03-01,926317,max_sharpe,alpha,0.99,0.8758981648830653
9581792,2020-03-01,926317,max_sharpe,excess_return,0.01,-0.1936281156416534
9581792,2020-03-01,926317,max_sharpe,excess_return,0.05,-0.15653459882752652
9581792,2020-03-01,926317,max_sharpe,excess_return,0.1,-0.10204552822095792
9581792,2020-03-01,926317,max_sharpe,excess_return,0.25,-0.013474416996743566
9581792,2020-03-01,926317,max_sharpe,excess_return,0.5,0.02541953986607204
9581792,2020-03-01,926317,max_sharpe,excess_return,0.75,0.08844980406226577
9581792,2020-03-01,926317,max_sharpe,excess_return,0.9,0.2579819532023182
9581792,2020-03-01,926317,max_sharpe,excess_return,0.95,0.38206985360042633
9581792,2020-03-01,926317,max_sharpe,excess_return,0.99,0.5893389318907033
9581792,2020-03-01,926317,mcap_weight,alpha,0.01,-0.6139602989659667
9581792,2020-03-01,926317,mcap_weight,alpha,0.05,-0.3160338613097322
9581792,2020-03-01,926317,mcap_weight,alpha,0.1,-0.23522299475584374
9581792,2020-03-01,926317,mcap_weight,alpha,0.25,-0.0937399076247575
9581792,2020-03-01,926317,mcap_weight,alpha,0.5,0.0028213228014243325
9581792,2020-03-01,926317,mcap_weight,alpha,0.75,0.13477222118715573
9581792,2020-03-01,926317,mcap_weight,alpha,0.9,0.13477222118715596
9581792,2020-03-01,926317,mcap_weight,alpha,0.95,0.2325643815803914
9581792,2020-03-01,926317,mcap_weight,alpha,0.99,0.47269861857825257
9581792,2020-03-01,926317,mcap_weight,excess_return,0.01,-0.1969549387499422
9581792,2020-03-01,926317,mcap_weight,excess_return,0.05,-0.17949836296226895
9581792,2020-03-01,926317,mcap_weight,excess_return,0.1,-0.14813187899745206
9581792,2020-03-01,926317,mcap_weight,excess_return,0.25,-0.028906490799962548
9581792,2020-03-01,926317,mcap_weight,excess_return,0.5,0.054465824674170604
9581792,2020-03-01,926317,mcap_weight,excess_return,0.75,0.3128544070729907
9581792,2020-03-01,926317,mcap_weight,excess_return,0.9,0.31285440707299084
9581792,2020-03-01,926317,mcap_weight,excess_return,0.95,0.40306086214156145
9581792,2020-03-01,926317,mcap_weight,excess_return,0.99,0.5650065974896173
9581792,2020-03-01,926317,safer_risk,alpha,0.01,-0.6293083048986137
9581792,2020-03-01,926317,safer_risk,alpha,0.05,-0.34495927031603835
9581792,2020-03-01,926317,safer_risk,alpha,0.1,-0.2880304747544721
9581792,2020-03-01,926317,safer_risk,alpha,0.25,-0.20398961234774457
9581792,2020-03-01,926317,safer_risk,alpha,0.5,-0.08170931953129018
9581792,2020-03-01,926317,safer_risk,alpha,0.75,0.004397596839601059
