block,wallet_type,n_wallets,n_wallets_pct_of_top1,total_value_usd,value_pct_of_top1,value_pct_of_all,mean_value,median_value,p75_value,p90_value,p99_value,max_value
12936340,CA,2705,19.2253,194314261996.49,41.0936,37.7068,71835217.00424951,7648243.965628458,24974110.48312686,98118100.29782651,1354246886.5992537,9140955335.9631
12936340,EOA,11365,80.7747,278543472573.96,58.9064,54.0516,24508884.520366065,5500738.828139356,11895415.1255675,23144749.967950802,296006627.0380136,14179804071.324558
13136427,CA,3143,21.3911,287252578873.74,42.0459,39.051,91394393.53284845,8206595.40702035,28799228.275369138,118457477.24630612,1515228148.150857,15412440358.494268
13136427,EOA,11550,78.6089,395935640914.75,57.9541,53.8261,34280142.070541166,6897789.107409455,19933931.081874307,31762884.449066587,369015156.4798878,29061493148.72054
13330090,CA,3073,20.2584,271666993564.82,36.0134,33.7406,88404488.63157272,7815684.749543697,28329284.988932308,118127451.20023504,1417551968.632806,15809260247.53129
13330090,EOA,12096,79.7416,482683628168.57,63.9866,59.9485,39904400.47689937,6443371.128827739,24968944.544072878,43307333.15056884,532493415.48476845,45089561691.080734
13527859,CA,3276,20.4904,390688413135.02,45.5075,42.0973,119257757.36722368,10232635.82497443,37610022.596179545,148733471.61210117,2152230328.350484,28852718622.35425
13527859,EOA,12712,79.5096,467826112596.06,54.4925,50.409,36801928.303654626,7582603.822608711,18727977.41536884,31182825.806321483,410114800.46357864,26547124945.02537
13717847,CA,3496,20.6717,482406596225.24,50.3208,46.6642,137988156.81500065,10219708.595590271,40635552.89961031,166261533.048873,2669549865.5236626,27971143118.429764
13717847,EOA,13416,79.3283,476255806986.63,49.6792,46.0692,35499091.15881266,6601185.4360163845,14704451.994915403,32177447.889108405,433809611.05737805,21677817877.83055
13916166,CA,3708,21.2395,412394578861.23,43.8096,40.9267,111217523.96473312,8389721.557570785,32268849.29854888,140599989.39919752,2165247742.3402767,22355097725.260418
13916166,EOA,13750,78.7605,528938888107.45,56.1904,52.4927,38468282.771451145,6202341.228785014,18957303.548918076,33508650.268131696,385589298.5200698,32400266486.85453
14116761,CA,3833,21.3931,299132016358.44,43.187,40.1981,78041225.24352731,6468971.407822037,23073937.215497762,104084052.27419822,1467542039.3900163,14184118497.303259
14116761,EOA,14084,78.6069,393511241195.23,56.813,52.881,27940303.975804664,4903821.756055128,12897539.920559501,22993455.31916735,245503596.45986095,21578791092.168884
14297759,CA,3936,21.5518,274911144657.37,41.6169,38.7042,69845311.14262396,6070588.5655362755,21379975.784245595,91997311.6110695,1187972634.124568,10742073264.730034
14297759,EOA,14327,78.4482,385663957254.53,58.3831,54.2968,26918682.01678836,4341044.2276367275,10367604.640347943,17972390.879226144,220036246.18717045,36799877605.01954
14497034,CA,4008,21.9532,293461811820.14,34.3295,32.3183,73219014.92518565,6510873.2132923445,23595842.430137448,95743242.33016965,1294240734.0153108,10607166007.06612
14497034,EOA,14249,78.0468,561376887187.35,65.6705,61.8232,39397634.02255236,4814314.735761726,11365462.25062246,19575010.098616507,258744278.31459108,122750371712.41885
14688630,CA,4020,21.57,222669694353.62,33.975,31.8649,55390471.23224293,5329888.752568206,18526834.26719109,74622837.39935215,974642931.9020642,8572386239.019446
14688630,EOA,14617,78.43,432722565490.6,66.025,61.9242,29604061.400465444,3863891.2116821227,10647393.312232036,19027778.88878125,190552083.7205352,43339943700.920135
14881677,CA,3844,20.3623,157993229219.22,30.9523,28.9779,41101256.30052559,4259756.749485334,14696642.514067141,55245475.341792546,717134108.4626187,5036252395.848793
14881677,EOA,15034,79.6377,352447009632.42,69.0477,64.6432,23443329.096210033,2998568.8857480176,6523757.430227557,12009351.7861753,137812140.79679057,37236790821.412834
15053226,CA,3632,19.0877,109527229268.89,27.4463,25.5117,30156175.459497426,3497924.3196370034,10983050.56867994,45666429.21128139,533698392.18779814,4256621784.9695644
15053226,EOA,15396,80.9123,289533415971.86,72.5537,67.4397,18805755.778894328,2209055.829856858,3950590.530996773,9998657.102519576,106461094.80675028,41587488853.048256
15253306,CA,3771,19.7652,135350937953.44,27.7054,25.812,35892584.978372574,3948065.852895054,12540775.013783671,53480346.7429932,652056808.9467521,5295217333.213794
15253306,EOA,15308,80.2348,353185714132.56,72.2946,67.3541,23071969.828361556,2574230.1965997303,4942881.224994024,11562069.14377143,132702967.8505899,54772654300.05295
15449618,CA,3726,19.5519,124579583123.75,30.4319,28.0936,33435207.494297642,3558362.936224404,11280228.759540273,47847193.17001724,639504053.5449815,4631865024.658571
15449618,EOA,15331,80.4481,284791502218.14,69.5681,64.2225,18576185.651173726,2354213.7913512774,4247316.693424894,10511336.4150174,121584103.08125228,40535423484.08106
15649595,CA,3782,18.9793,118096734737.47,25.7506,24.0431,31226000.723814473,3238210.583347693,9935289.816252012,42196952.89729505,605520987.8441223,3431874665.8580837
