block_number,wallet_type,wallets_considered,total_value_usd,top_1_value_usd,top_5_value_usd,top_10_value_usd,top_1_share_pct,top_5_share_pct,top_10_share_pct
17595510,ALL,14518875,416750903586.498,407362670155.26514,414705662758.44977,415815260992.77313,97.74727940588993,99.50924141724776,99.77549116614436
17595510,EOA,14450142,411029005944.8558,401862868597.8806,409033752028.4952,410109382395.1866,97.76995364940136,99.51457101871095,99.77626310154068
17595510,CA,68733,5721897641.641983,5402488452.5123205,5626844690.928033,5672189705.496618,94.41777520092087,98.33878624423151,99.13126834385139
17816434,ALL,14809205,448260423615.5684,438879412272.30414,446202586129.7764,447316451368.68024,97.90724078034836,99.54092813521346,99.78941432320205
17816434,EOA,14734210,443167306546.2383,434008544265.26105,441163574697.3805,442240811842.68896,97.93333981417655,99.54786108558558,99.79093793926953
17816434,CA,74995,5093117069.33024,4792172892.584582,4998846506.366472,5041681704.886831,94.09115925180897,98.14905957038673,98.99010048771227
18037988,ALL,14819025,393165178637.4726,384451781701.7923,391255329423.3995,392276342641.1641,97.78378213302692,99.51423744577488,99.77392809826426
18037988,EOA,14739250,388108012192.2237,379599205920.05695,386248966767.2612,387235779049.42993,97.80761901201038,99.52099792672105,99.7752602071091
18037988,CA,79775,5057166445.2483225,4786726916.848333,4972892147.181525,5010631273.574584,94.65235065272387,98.33356685054373,99.07981728152407
18251965,ALL,15050123,407244888282.54803,398589484150.1727,405353307924.32227,406376157151.4408,97.87464388592396,99.53551771608404,99.78668089984606
18251965,EOA,14965774,402360295079.4163,393908167912.49493,400520457201.8628,401508373830.4482,97.89936351317837,99.54273870954628,99.78826905651812
18251965,CA,84349,4884593203.1319,4623322194.826267,4801563457.035312,4838386351.057302,94.6511204221037,98.30017070728938,99.05402865391184
18473543,ALL,15145550,451135430089.2445,441526129362.47565,448995698817.53815,450172406221.106,97.86997427249996,99.52570090287897,99.786533310419
18473543,EOA,15057593,445823466222.54095,436434004044.4253,443741472141.3625,444879659520.78253,97.89390579691273,99.53300033782,99.78830035355578
18473543,CA,87957,5311963866.703042,5031124012.041077,5223894589.9598675,5263140388.821191,94.71306918289952,98.34205806076321,99.08087707094751
18687851,ALL,15500701,518310153992.6065,507165614595.08936,515765007024.8664,517173723275.5184,97.84983193717711,99.50895290240129,99.78074311137182
18687851,EOA,15408521,511048320110.0467,500154738575.0374,508571560087.3318,509935042524.3628,97.86838521792548,99.51535697795043,99.78215805788302
18687851,CA,92180,7261833882.560288,6940891412.314006,7161835963.283731,7205881001.72507,95.58042120714103,98.62296603180765,99.22949379261355
18908895,ALL,15921525,595293927365.1626,583185726102.4658,592429422679.0327,594004959042.0305,97.96601297172826,99.51880834753203,99.78347363144839
18908895,EOA,15826621,586431709469.5663,574592150414.1742,583641366576.3529,585167642474.1968,97.98108477692976,99.52418280796287,99.78444770721678
