block_number,wallet_type,wallets_considered,total_value_usd,top_1_value_usd,top_5_value_usd,top_10_value_usd,top_1_share_pct,top_5_share_pct,top_10_share_pct
21747950,ALL,20401082,1189669480324.3467,1175558435373.3782,1185896396795.8276,1187888055865.0974,98.81386845805935,99.68284606851557,99.85025887536733
21747950,EOA,20282625,1170671351278.3352,1156883910704.1658,1167001433496.6062,1168922841102.1423,98.82226206705118,99.68651169453139,99.85064038901409
21747950,CA,118457,18998129046.010605,18541679321.267113,18847084432.318226,18906303508.57082,97.59739644025977,99.20495005941599,99.51666010259538
21948292,ALL,20042295,938337502629.8718,927789043507.4352,935442416162.0117,936930584002.8036,98.87583528390664,99.69146640097554,99.85006262425566
21948292,EOA,19926266,922589484620.9618,912267636396.7559,919767401530.1205,921208242770.5579,98.88120898880106,99.69411280554527,99.85028640869764
21948292,CA,116029,15748018008.910837,15437202232.687725,15645852262.8071,15685746885.571323,98.02631813065466,99.351246956627,99.6045780281412
22170335,ALL,20045959,897732454193.9835,888498481953.7004,895175123479.8816,896475537648.5588,98.97141156063321,99.71513442538979,99.85998985114634
22170335,EOA,19931222,886112021870.3866,877068327905.1409,883615915258.0538,884877487793.0413,98.97939608739802,99.71830800725805,99.86067968305638
22170335,CA,114737,11620432323.597202,11363131919.099125,11536421208.633766,11569163284.800701,97.78579318451358,99.2770396778368,99.558802655798
22385294,ALL,20492808,923680360736.6925,913832362015.5925,920985132990.3784,922366561441.1813,98.93383045264213,99.70820774578725,99.85776472561749
22385294,EOA,20376638,912464628889.1752,902806150482.2239,909831282619.9469,911173803891.5454,98.94149558227704,99.7114029206333,99.85853424266965
22385294,CA,116170,11215731847.517818,10964203534.383986,11133993390.543234,11165782124.485842,97.75736156540245,99.27121601973148,99.55464588748143
22606143,ALL,20802578,1062219003350.6023,1051663968625.8635,1059347205090.3701,1060818620668.0574,99.0063221716572,99.72964160392786,99.86816441071684
22606143,EOA,20681209,1048056594866.4448,1037738978136.7329,1045260448437.5651,1046681827930.0367,99.01554774997369,99.73320654222532,99.86882703251504
22606143,CA,121369,14162408484.155994,13840777344.826353,14051882298.339043,14094050610.03387,97.72897992817067,99.21958058235221,99.51732874956545
22820674,ALL,21024117,1082939533358.3715,1072813532193.2557,1080197887546.7723,1081600254187.7706,99.06495230313429,99.74683297385064,99.87632927514913
