block,wallet_type,n_wallets,n_wallets_pct_of_top1,total_value_usd,value_pct_of_top1,value_pct_of_all,mean_value,median_value,p75_value,p90_value,p99_value,max_value
13330090,EOA,139952,92.2618,517570011771.66,65.2934,64.2813,3698196.608634829,171411.0739186411,392883.00971267396,1475563.3171689592,40944166.437331095,45089561691.080734
13527859,CA,12106,7.5724,395135027325.68,43.4433,42.5764,32639602.4554506,529845.7970887887,2725538.773381148,18456924.628924668,584123443.1143975,28852718622.35425
13527859,EOA,147765,92.4276,514407551933.89,56.5567,55.4282,3481254.3696673256,219360.7491673326,498299.3594627166,1843807.268020616,27690034.73928589,26547124945.02537
13717847,CA,12467,7.372,487214908357.91,48.0343,47.1293,39080364.83178863,590265.6485553676,3000488.972473477,20868695.610234026,628904759.0305223,27971143118.429764
13717847,EOA,156647,92.628,527090974923.48,51.9657,50.9866,3364832.872148732,222608.5549070459,500527.418485138,1916452.0314882402,26304876.223139938,21677817877.83055
13916166,CA,12907,7.3934,416608323079.6,42.0197,41.3449,32277703.810304474,517623.1656404349,2626910.2809329657,17959366.28235962,552654939.2613077,22355097725.260418
13916166,EOA,161667,92.6066,574851274857.26,57.9803,57.0491,3555773.750099024,198760.15899631314,485086.1329574978,1570307.8465549876,31056980.69698013,32400266486.85453
14116761,CA,13367,7.4607,302506788997.09,41.3376,40.6516,22630866.237532135,404082.71206053166,2096089.9120219604,13103744.010461684,381715432.3560301,14184118497.303259
14116761,EOA,165799,92.5393,429288692655.21,58.6624,57.6888,2589211.591476506,150446.67599985906,366873.25856098754,1182199.334308776,20390063.51198463,21578791092.168884
14297759,CA,13688,7.4951,278188996662.76,39.871,39.1657,20323567.84502936,389924.1345201285,1971282.2580519903,11997381.644244473,339783861.0163275,10742073264.730034
14297759,EOA,168938,92.5049,419533871546.55,60.129,59.0653,2483359.9992100853,138107.34643751098,326601.2476189189,1126884.7207785265,16290596.774941208,36799877605.01954
14497034,CA,14293,7.8289,297149782272.73,33.1804,32.7245,20789881.91931234,393651.26599479385,2122200.078505782,12717181.600120077,366363119.78285044,10607166007.06612
14497034,EOA,168274,92.1711,598407459685.71,66.8196,65.9013,3556149.2547019217,151906.40671412667,365885.38740515296,1239021.176115104,17657766.56685512,122750371712.41885
14688630,CA,14718,7.8974,225723269204.92,32.7609,32.3018,15336544.992860466,302499.77420220163,1616435.3820492441,9522196.73227392,253339351.15733364,8572386239.019446
14688630,EOA,171646,92.1026,463278898201.03,67.2391,66.297,2699036.9609605493,119889.97373830623,300447.56890010496,1009864.5808038587,17728841.068691604,43339943700.920135
14881677,CA,14502,7.6821,160469085139.07,29.8296,29.432,11065307.208597006,236976.27345893288,1207964.2059987495,7097546.7379816575,184278052.44795656,5036252395.848793
14881677,EOA,174274,92.3179,377482678811.5,70.1704,69.235,2166029.8082990013,97175.55805014053,231148.9758030145,892118.4560252326,10301396.951360803,37236790821.412834
15053226,CA,13782,7.2433,111522710685.26,26.3436,25.9765,8091910.512643693,199174.0311706351,988793.8994140399,5642226.100419686,144793796.5694432,4256621784.9695644
15053226,EOA,176491,92.7567,311816333891.89,73.6564,72.63,1766754.8707406833,86806.34601285348,212714.83095781112,752787.5704975501,8779804.991152491,41587488853.048256
15253306,CA,14274,7.5038,137724891393.72,26.6336,26.2648,9648654.294081327,231289.46226177615,1133693.3574065927,6435575.491499325,177829685.58314687,5295217333.213794
15253306,EOA,175949,92.4962,379385188957.33,73.3664,72.3505,2156222.478998649,100781.14744166526,269665.1429958315,849488.3104376525,9933545.243622828,54772654300.05295
15449618,CA,14006,7.3499,126783278281.5,29.054,28.5905,9052068.990539765,221065.02253837738,1064326.679636884,5748096.233895807,166612831.44112304,4631865024.658571
15449618,EOA,176555,92.6501,309587923794.83,70.946,69.8143,1753492.8141079475,99455.27158847266,247340.67512277266,789853.1040687292,8906979.415250951,40535423484.08106
15649595,CA,14235,7.1438,120148334628.69,24.787,24.4607,8440346.654632345,204898.64881535468,1001045.9242505183,5219815.2849003,152663523.85085994,3431874665.8580837
15649595,EOA,185029,92.8562,364575569001.58,75.213,74.2231,1970369.8825674967,90278.40320375531,236448.4981356017,724179.1318519056,8079739.373094846,42294860283.46473
15871480,CA,14698,7.2386,125372012056.72,25.1221,24.7847,8529868.829549292,205388.86519449676,1000090.0881348273,5319689.871277191,157968644.46585745,3952767923.0831957
15871480,EOA,188351,92.7614,373677841299.36,74.8779,73.872,1983944.026309176,90475.72246938477,240094.45245984237,720610.5126605877,8298238.769723302,45594441808.34056
16086234,CA,14357,7.0177,102009463807.92,23.3662,23.02,7105207.481223206,202997.92037822475,952998.193345974,4793654.5186995,134643245.08590004,3815098962.9120336
16086234,EOA,190227,92.9823,334559113420.49,76.6338,75.4985,1758736.2121070393,94012.85484243503,253094.2986845585,684961.2187126131,8047569.150415568,38671633443.10694
16308190,CA,14040,6.9238,90448449903.56,24.0187,23.6312,6442197.286578202,199980.86755594972,900141.5331215117,4318115.808559618,113849334.70764528,3740072203.5739036
16308190,EOA,188739,93.0762,286126007357.74,75.9813,74.7552,1515987.7256832737,96881.98046557404,265997.1942259511,655583.6429681341,7346754.337426274,34091910411.30262
16530248,CA,14597,7.1334,115983147165.06,25.9808,25.5369,7945683.850452547,230079.9595707742,1042529.3052372093,5141765.624208124,146661622.2271941,4333384714.616767
16530248,EOA,190032,92.8666,330435985227.37,74.0192,72.7546,1738843.906433471,112612.72361058516,320857.7774291164,759763.6729418145,8039066.35482952,42556126826.72979
16730072,CA,15047,7.2878,129613965714.66,27.3011,26.8379,8613940.70011727,237934.73606555525,1107881.4134501917,5578775.557697463,157856048.0748143,5108862029.664604
16730072,EOA,191420,92.7122,345143853632.57,72.6989,71.4657,1803071.0146932118,119502.05260521642,352853.13607156754,912904.3481137657,8545881.338478154,42531227768.35513
