block,wallet_type,bucket,wallet_count,wallet_pct,value_sum_usd,value_pct
11363270,CA,0–1,119414,52.7214,17407.809095,0.0
11363270,CA,100–1K,27845,12.2936,9641827.947036,0.0222
11363270,CA,10K–100K,3315,1.4636,118800371.753081,0.2733
11363270,CA,1K–10K,7824,3.4543,24855721.317332,0.0572
11363270,CA,1–100,65306,28.8327,1475944.005072,0.0034
11363270,CA,>100K,2796,1.2344,43320991564.245605,99.644
11363270,EOA,0–1,2960076,32.156,560327.13181,0.0009
11363270,EOA,100–1K,731247,7.9437,256504842.138522,0.4002
11363270,EOA,10K–100K,132951,1.4443,4100600104.535636,6.3976
11363270,EOA,1K–10K,348558,3.7865,1151459329.417337,1.7965
11363270,EOA,1–100,5001647,54.334,61416296.682938,0.0958
11363270,EOA,>100K,30896,0.3356,58525441284.23262,91.3091
11565019,ALL,0–1,2959747,29.8815,429605.623156,0.0003
11565019,ALL,100–1K,878989,8.8742,300491638.694268,0.2395
11565019,ALL,10K–100K,145342,1.4674,4319755794.750204,3.4429
11565019,ALL,1K–10K,383024,3.867,1247490477.471272,0.9943
11565019,ALL,1–100,5494814,55.4754,67423458.218056,0.0537
11565019,ALL,>100K,43042,0.4346,119531889652.29454,95.2692
11565019,CA,0–1,122355,50.4561,16834.80746,0.0
11565019,CA,100–1K,30095,12.4104,10756716.711525,0.0215
11565019,CA,10K–100K,3772,1.5555,132207667.37559,0.2642
11565019,CA,1K–10K,9302,3.8359,29067602.191972,0.0581
11565019,CA,1–100,73458,30.2922,1626094.913535,0.0032
11565019,CA,>100K,3516,1.4499,49860541387.270744,99.6529
11565019,EOA,0–1,2837392,29.3651,412770.815696,0.0005
11565019,EOA,100–1K,848894,8.7855,289734921.982745,0.3841
11565019,EOA,10K–100K,141570,1.4652,4187548127.374614,5.5513
11565019,EOA,1K–10K,373722,3.8678,1218422875.279302,1.6152
11565019,EOA,1–100,5421356,56.1074,65797363.304522,0.0872
11565019,EOA,>100K,39526,0.4091,69671348265.02368,92.3616
11766939,ALL,0–1,3110744,29.9351,542564.446648,0.0002
11766939,ALL,100–1K,1073319,10.3287,371397083.452149,0.1705
11766939,ALL,10K–100K,196346,1.8895,5926110929.196651,2.721
11766939,ALL,1K–10K,495621,4.7694,1680738192.122911,0.7717
11766939,ALL,1–100,5466151,52.6014,82798771.939045,0.038
11766939,ALL,>100K,49461,0.476,209727974420.51443,96.2985
11766939,CA,0–1,125192,47.9775,18716.010392,0.0
11766939,CA,100–1K,34345,13.1621,12632332.943799,0.0117
11766939,CA,10K–100K,5281,2.0238,181407017.818363,0.1676
11766939,CA,1K–10K,11495,4.4052,38957032.933836,0.036
11766939,CA,1–100,79818,30.5888,1870984.980179,0.0017
11766939,CA,>100K,4808,1.8426,107991464293.65738,99.783
11766939,EOA,0–1,2985552,29.4703,523848.436257,0.0005
11766939,EOA,100–1K,1038974,10.2557,358764750.50835,0.3275
11766939,EOA,10K–100K,191065,1.886,5744703911.378288,5.2433
11766939,EOA,1K–10K,484126,4.7788,1641781159.189075,1.4985
11766939,EOA,1–100,5386333,53.1684,80927786.958863,0.0739
11766939,EOA,>100K,44653,0.4408,101736510126.85703,92.8565
11948960,ALL,0–1,3086632,27.8519,581176.173797,0.0001
11948960,ALL,100–1K,1367265,12.3374,493081888.802207,0.1119
11948960,ALL,10K–100K,238806,2.1548,7040310935.484263,1.5974
11948960,ALL,1K–10K,696305,6.283,2254469623.176063,0.5115
11948960,ALL,1–100,5621847,50.7282,99104371.018781,0.0225
11948960,ALL,>100K,71430,0.6445,430839286625.9242,97.7565
11948960,CA,0–1,126968,45.3036,19836.894664,0.0
11948960,CA,100–1K,40917,14.5997,15512046.342194,0.0108
11948960,CA,10K–100K,6242,2.2272,211596907.458011,0.1478
11948960,CA,1K–10K,13925,4.9686,46017576.948017,0.0321
11948960,CA,1–100,86607,30.9024,2098227.520998,0.0015
11948960,CA,>100K,5601,1.9985,142905968798.60016,99.8078
11948960,EOA,0–1,2959664,27.3992,561339.279133,0.0002
11948960,EOA,100–1K,1326348,12.2787,477569842.460013,0.1605
11948960,EOA,10K–100K,232564,2.153,6828714028.026258,2.295
11948960,EOA,1K–10K,682380,6.3171,2208452046.228046,0.7422
11948960,EOA,1–100,5535240,51.2426,97006143.497784,0.0326
11948960,EOA,>100K,65829,0.6094,287933317827.3245,96.7695
12150245,ALL,0–1,2812135,23.9728,425600.920736,0.0001
12150245,ALL,100–1K,1632164,13.9138,607509721.693255,0.1031
12150245,ALL,10K–100K,328670,2.8018,9684445526.710579,1.6438
12150245,ALL,1K–10K,903597,7.7029,2976021894.389718,0.5051
12150245,ALL,1–100,5962648,50.8301,207356443.828484,0.0352
12150245,ALL,>100K,91323,0.7785,575662300199.5499,97.7126
12150245,CA,0–1,128632,42.6928,22198.200278,0.0
12150245,CA,100–1K,48315,16.0357,18558511.30288,0.0081
12150245,CA,10K–100K,7750,2.5722,257627183.906984,0.112
12150245,CA,1K–10K,19780,6.565,62633204.511485,0.0272
12150245,CA,1–100,89728,29.7806,2366175.484514,0.001
12150245,CA,>100K,7092,2.3538,229652120606.16812,99.8516
12150245,EOA,0–1,2683503,23.4793,403402.720458,0.0001
12150245,EOA,100–1K,1583849,13.8579,588951210.390376,0.164
12150245,EOA,10K–100K,320920,2.8079,9426818342.803598,2.6248
12150245,EOA,1K–10K,883817,7.7329,2913388689.878237,0.8112
12150245,EOA,1–100,5872920,51.385,204990268.343971,0.0571
12150245,EOA,>100K,84231,0.737,346010179593.38104,96.3428
12344945,ALL,0–1,2902824,23.1125,428230.442229,0.0001
12344945,ALL,100–1K,2049215,16.316,740263485.194681,0.1098
12344945,ALL,10K–100K,365465,2.9099,10696194425.46243,1.5871
12344945,ALL,1K–10K,1044514,8.3165,3404849741.799447,0.5052
12344945,ALL,1–100,6095335,48.5314,274949247.735867,0.0408
12344945,ALL,>100K,102209,0.8138,658828620193.201,97.757
12344945,CA,0–1,131216,33.2213,21417.244695,0.0
12344945,CA,100–1K,99055,25.0788,42580305.202436,0.0157
12344945,CA,10K–100K,12939,3.2759,415902537.649315,0.1533
