block_number,block_date,n_wallets,mean_alpha_baseline,median_alpha_baseline,frac_positive_alpha_baseline,mean_alpha_better_return,median_alpha_better_return,frac_positive_alpha_better_return,mean_alpha_safer_risk,median_alpha_safer_risk,frac_positive_alpha_safer_risk,mean_alpha_max_sharpe,median_alpha_max_sharpe,frac_positive_alpha_max_sharpe,mean_alpha_equal_weight,median_alpha_equal_weight,frac_positive_alpha_equal_weight,mean_alpha_mcap_weight,median_alpha_mcap_weight,frac_positive_alpha_mcap_weight
14881677,2022-06-01,3075701,0.2798947362322157,0.2649451910052545,0.9499239360392964,0.29253593435897113,0.29388415960548286,0.9251897372338859,0.26883176976709455,0.27291605847679357,0.9478635927224396,0.25189686486149276,0.24204318882979614,0.9248967958849056,0.3081691124101005,0.324310898900134,0.9550678040550755,0.2539751044740079,0.2405503366628544,0.96122249854586
15053226,2022-07-01,3103058,-0.1280344105091146,-0.12681040567114343,0.16091320239583018,-0.11127523872147232,-0.12450124646596517,0.16096476443559868,-0.11689328269658211,-0.11346464419013427,0.18289990067862089,-0.10370427146704922,-0.112423504427411,0.1562848648011091,-0.11203054497751172,-0.12900042800075412,0.15722780560337576,-0.11907528280345223,-0.09740359517498282,0.1778680901227112
15253306,2022-08-01,3154145,-0.012886481644960743,-0.02657954635909933,0.3195255766618212,-0.011701797067222701,-0.03392901994072309,0.27855250789041086,-0.012599832677377115,-0.023423323634706412,0.3105006269527875,-0.018087471787813093,-0.04100859917543348,0.2822130878574067,-0.013405993914783141,-0.029564908267354237,0.31161915511176563,-0.01183304334486836,-0.014653198862679746,0.26546052892305205
15449618,2022-09-01,3172900,0.008504509832595151,-0.000595730632797811,0.47637145828737115,0.011903238479709585,-2.887209663656842e-05,0.49812568943238045,0.00989069236957354,0.0003388258826245409,0.5174805383088027,0.02087690226582458,0.0003882526924373177,0.5298149957452173,0.01272893571178693,9.39410945612339e-05,0.5106659522834001,0.003584388988712693,0.00016482173971447652,0.5363144126824041
15649595,2022-10-01,3182512,-0.02494890021584638,-0.017377880722613818,0.31440289934492,-0.032018484079231996,-0.023800324225889742,0.27596125324900583,-0.02558901766442153,-0.019051787951157667,0.28797283403801777,-0.038216043099611186,-0.03262023444146545,0.21672534149124967,-0.029674517830890347,-0.031954609672772,0.22706654366110796,-0.02424142071663638,-0.009886088675518177,0.16571657860206027
15871480,2022-11-01,3245800,-0.020605839629387668,-0.0018152236771724149,0.4734096370694436,-0.01930050859265715,-0.00961001912254466,0.3991820198410253,-0.02142787653244473,-0.008367492729213534,0.39552591040729557,-0.01992436991476924,-0.010550107136903575,0.38533735904861666,-0.02336969545971655,-0.022308541960922412,0.36401595908558754,-0.01696666295167294,0.00047039439625010115,0.5185109988292562
16086234,2022-12-01,3332213,-0.042631944018831906,-0.034913996624159616,0.33097824178706464,-0.04815549873283079,-0.0433821856232435,0.29036799268234054,-0.03988961331406449,-0.035207929696611025,0.2888980986509566,-0.058292792760401425,-0.04878503962355096,0.287050677732786,-0.03416408758938211,-0.04218187685203901,0.26299399228080556,-0.042091167661782565,-0.025152900177669052,0.33908336591928545
16308190,2023-01-01,3362555,0.10236417208149569,0.0006798486309868253,0.502412005156793,0.13983270185843358,0.0019275029080196987,0.5111312677413455,0.14891689010101572,0.007695075458805711,0.5354654422009454,0.0875269587438117,-0.0058049141191434065,0.4271472139489168,0.21939919642245617,0.01127618063366645,0.540819406671415,0.042122450621962626,-0.0028891759847297256,0.4802993556982711
16530248,2023-02-01,3370814,0.15433390772770808,0.07640437224163729,0.7694598396707739,0.17390621956240085,0.08659426356243302,0.8079532124881409,0.15488036484499412,0.08220136505318279,0.8105748344465165,0.17185314349677847,0.10009556011255358,0.798653381646095,0.16928962910847828,0.09799116601632596,0.844711989448246,0.12806078747012467,0.058273128781315374,0.7371919660948364
16730072,2023-03-01,3392077,-0.1736810871425234,-0.196507291279248,0.14243750952587456,-0.16645827817646358,-0.2015000931607088,0.1378406209528852,-0.16701548684810125,-0.18550906443781945,0.13988921831668327,-0.18755458166464095,-0.23341531331913484,0.1283437846487565,-0.16257773598731734,-0.18150040569509504,0.12014674195190735,-0.1514827464796865,-0.1707644551583944,0.23800904283717617
16950603,2023-04-01,3417035,0.21614915731641673,-0.025119536366098382,0.2691775179358713,0.46046837295891746,-0.026019875564132586,0.2883988604155357,0.22946217358500107,-0.02574347113838573,0.2743281821813356,0.6273246141495117,-0.019588898579704212,0.32844147045611183,0.27545445765140447,-0.03190692482305265,0.2687443938970482,-0.018435638288075065,-0.01297908404418454,0.28821507535041346
17162287,2023-05-01,3457737,-0.06056137056920384,-0.039986636732750616,0.18252689548106174,-0.05792262537172152,-0.04328988162638055,0.17116888878477454,-0.059316454590195244,-0.04328988164566537,0.13937121302169597,-0.0551093707216684,-0.03577575683219649,0.20177329854757606,-0.06344948949559756,-0.05991410818080917,0.14929909359792257,-0.05140944477086824,-0.034034026363484876,0.16760991365161665
17382266,2023-06-01,3442453,-0.11373733486707427,-0.1520600645717934,0.08601773212299485,-0.025865325382151454,-0.1377047726548833,0.06613365527430586,-0.06596385168358355,-0.14352155815383186,0.06111310742659377,-0.07916638844259007,-0.14257238379376344,0.07783287092082303,0.002284592560136429,-0.14182679949941066,0.05421366682420937,-0.11083294780661278,-0.12901348352179093,0.05088115945228591
17595510,2023-07-01,3533345,0.06432542997940768,0.03601542431827231,0.7732958428910848,0.06381145272125524,0.029493621903509005,0.7304859842443916,0.06225947399349975,0.033247740332219625,0.7489857344810654,0.06508385576067438,0.023757089811562056,0.7108903885694717,0.06789313873893418,0.05176131411225597,0.7547137344357825,0.06845722438790719,0.035355893970450414,0.7742334813045428
17816434,2023-08-01,3527396,0.08110055492789295,0.003915037223100271,0.5434215494943012,0.10074322042424465,-0.00020610767505287682,0.49651641040586314,0.09160918209644822,0.0009548522094082468,0.5242328902113628,0.04793079682167108,-5.0801018502142584e-05,0.4996683105611051,0.11552807281348686,0.0037258172346852497,0.5228607732162762,0.06372701807218661,-0.0005131562954351544,0.4889541746943071
18037988,2023-09-01,3655348,-0.054144392852774385,-0.051875571626981906,0.20780866828548197,-0.045952024950524493,-0.050718562466250505,0.22444210510189455,-0.05123145513713765,-0.05067232252323348,0.20552707977462065,-0.044750898733416686,-0.04269161629668121,0.2280434038017721,-0.04261142717898461,-0.051224028756893206,0.22633002384451495,-0.04524993659751927,-0.03669880869192577,0.16642601470502946
