pair,bin,mean_l1_pct,mean_alpha,median_alpha,n
l1_max_sharpe_vs_alpha_baseline,4,1.0360598567113608,0.08966015442540688,-0.004005708188728136,11793401
l1_max_sharpe_vs_alpha_baseline,5,7.125501874573735,0.014371465130054138,-0.02176131748444088,11793401
l1_max_sharpe_vs_alpha_baseline,6,13.518392321424809,0.5064755215715674,-0.022565603965311765,11793401
l1_max_sharpe_vs_alpha_baseline,7,21.7421098881342,112169.32375277265,-0.027505158545284104,11793401
l1_max_sharpe_vs_alpha_baseline,8,30.438146105462657,0.17938911926059006,-0.02918694232566202,11793400
l1_max_sharpe_vs_alpha_baseline,9,38.5423727741208,20876.45622900528,-0.01876819710801787,11793400
l1_max_sharpe_vs_alpha_baseline,10,45.92726986298575,5.242725450868359,-0.02689673825098532,11793400
l1_max_sharpe_vs_alpha_baseline,11,54.24641633280801,0.023567416315527785,-0.031121408752412358,11793400
l1_max_sharpe_vs_alpha_baseline,12,62.20930306579313,0.32176631569658304,-0.030015906752927084,11793400
l1_max_sharpe_vs_alpha_baseline,13,69.83686436537967,0.040148131098336544,-0.023923578585156462,11793400
l1_max_sharpe_vs_alpha_baseline,14,76.8276692029777,0.03239681390003127,-0.019106781133215112,11793400
l1_max_sharpe_vs_alpha_baseline,15,79.99963452284635,1.1511656675976634,-0.014222677124784845,11793400
l1_max_sharpe_vs_alpha_baseline,16,80.0,0.558135904802137,-0.006884883896913836,11793400
l1_max_sharpe_vs_alpha_baseline,17,80.01160833765195,0.18441012090779343,-0.01210300809316689,11793400
l1_max_sharpe_vs_alpha_baseline,18,84.52739317437639,0.9424266688954522,-0.0210935367534227,11793400
l1_max_sharpe_vs_alpha_baseline,19,89.69288384705217,0.02784181739845115,-0.01765932578599073,11793400
l1_max_sharpe_vs_alpha_baseline,20,94.88939943298283,0.02634102418048572,-0.028000203055081073,11793400
l1_equal_vs_alpha_baseline,1,3.117815625390391,133045.84644060093,-0.0120992640428257,11793401
l1_equal_vs_alpha_baseline,2,10.653499550238921,0.03128162252414046,-0.022654218975364362,11793401
l1_equal_vs_alpha_baseline,3,17.37501324975823,0.02533463982414145,-0.024005811359446953,11793401
l1_equal_vs_alpha_baseline,4,23.066388484242815,0.021067509863140217,-0.02423570948724838,11793401
l1_equal_vs_alpha_baseline,5,27.82319972459402,0.03388128588640988,-0.023644413489678162,11793401
l1_equal_vs_alpha_baseline,6,31.877800163463835,0.02521693916089614,-0.025264492023982822,11793401
l1_equal_vs_alpha_baseline,7,34.998994199601725,5.196347504830181,-0.01965610819717827,11793401
l1_equal_vs_alpha_baseline,8,38.5869808611481,0.31927305073104806,-0.01913429505503492,11793400
