strategy,beta_bin,count
max_sharpe,4.1,5309
max_sharpe,4.15,5921
max_sharpe,4.2,5662
max_sharpe,4.25,6549
max_sharpe,4.3,5156
max_sharpe,4.35,5582
max_sharpe,4.4,4163
max_sharpe,4.45,6301
max_sharpe,4.5,7060
max_sharpe,4.55,7332
max_sharpe,4.6,6063
max_sharpe,4.65,2846
max_sharpe,4.7,2697
max_sharpe,4.75,3214
max_sharpe,4.8,2871
max_sharpe,4.85,2264
max_sharpe,4.9,3030
max_sharpe,4.95,1132
equal_weight,-1.0,28560
equal_weight,-0.95,26488
equal_weight,-0.9,29154
equal_weight,-0.85,32011
equal_weight,-0.8,32618
equal_weight,-0.75,39546
equal_weight,-0.7,46624
equal_weight,-0.65,54160
equal_weight,-0.6,66857
equal_weight,-0.55,71990
equal_weight,-0.5,85805
equal_weight,-0.45,79690
equal_weight,-0.4,102237
equal_weight,-0.35,119727
equal_weight,-0.3,135618
equal_weight,-0.25,161259
equal_weight,-0.2,222541
equal_weight,-0.15,302087
equal_weight,-0.1,402389
equal_weight,-0.05,3391918
equal_weight,0.0,8433479
equal_weight,0.05,1110630
equal_weight,0.1,1301915
equal_weight,0.15,1608500
equal_weight,0.2,1953613
equal_weight,0.25,2523602
equal_weight,0.3,3142614
equal_weight,0.35,4493599
equal_weight,0.4,4912705
equal_weight,0.45,6299906
equal_weight,0.5,7863253
equal_weight,0.55,8882128
equal_weight,0.6,8270348
equal_weight,0.65,9146342
equal_weight,0.7,9792391
equal_weight,0.75,9136318
equal_weight,0.8,9796364
equal_weight,0.85,9592729
equal_weight,0.9,11202362
equal_weight,0.95,10596270
equal_weight,1.0,10574694
equal_weight,1.05,10793500
equal_weight,1.1,10134366
equal_weight,1.15,9756520
equal_weight,1.2,8808769
equal_weight,1.25,7736960
equal_weight,1.3,6498008
equal_weight,1.35,6125401
equal_weight,1.4,4776704
equal_weight,1.45,4488245
equal_weight,1.5,3537305
equal_weight,1.55,2973915
equal_weight,1.6,2467500
equal_weight,1.65,1840193
equal_weight,1.7,1824221
equal_weight,1.75,1227550
equal_weight,1.8,933784
equal_weight,1.85,793517
equal_weight,1.9,661999
equal_weight,1.95,576937
equal_weight,2.0,395967
equal_weight,2.05,319609
equal_weight,2.1,301998
equal_weight,2.15,250576
equal_weight,2.2,195914
equal_weight,2.25,164748
equal_weight,2.3,133801
equal_weight,2.35,118830
equal_weight,2.4,79422
equal_weight,2.45,166216
equal_weight,2.5,62910
equal_weight,2.55,52927
equal_weight,2.6,44682
equal_weight,2.65,43288
equal_weight,2.7,32916
equal_weight,2.75,32406
equal_weight,2.8,35667
equal_weight,2.85,24676
equal_weight,2.9,21940
equal_weight,2.95,19397
equal_weight,3.0,16773
equal_weight,3.05,13927
equal_weight,3.1,11653
equal_weight,3.15,11308
equal_weight,3.2,10533
equal_weight,3.25,10568
equal_weight,3.3,9492
equal_weight,3.35,7779
equal_weight,3.4,7999
equal_weight,3.45,7964
equal_weight,3.5,26446
equal_weight,3.55,6566
equal_weight,3.6,5702
equal_weight,3.65,8372
equal_weight,3.7,6290
equal_weight,3.75,5102
equal_weight,3.8,6890
equal_weight,3.85,4421
equal_weight,3.9,6801
equal_weight,3.95,3846
equal_weight,4.0,3948
equal_weight,4.05,3268
equal_weight,4.1,4534
equal_weight,4.15,3486
equal_weight,4.2,3623
equal_weight,4.25,2824
equal_weight,4.3,2530
equal_weight,4.35,2936
equal_weight,4.4,2620
equal_weight,4.45,2432
equal_weight,4.5,2283
equal_weight,4.55,2097
